GWAP Price,Computed Date/Hr
0,12/26/15 1:00 AM
-0.974947653,12/26/15 2:00 AM
-10228.8524,12/26/15 3:00 AM
-98304.68629,12/26/15 4:00 AM
-506.3558581,12/26/15 5:00 AM
-87563.31061,12/26/15 6:00 AM
-503.0330914,12/26/15 7:00 AM
0,12/26/15 8:00 AM
0,12/26/15 9:00 AM
0,12/26/15 10:00 AM
185.5689341,12/26/15 11:00 AM
1203.667001,12/26/15 12:00 PM
1282.97766,12/26/15 1:00 PM
1325.805318,12/26/15 2:00 PM
1214.907538,12/26/15 3:00 PM
1205.384566,12/26/15 4:00 PM
981.9089208,12/26/15 5:00 PM
1689.916945,12/26/15 6:00 PM
1496.065767,12/26/15 7:00 PM
1623.223354,12/26/15 8:00 PM
1626.801946,12/26/15 9:00 PM
1619.443671,12/26/15 10:00 PM
1465.510694,12/26/15 11:00 PM
1456.119774,12/27/15 12:00 AM
188.7790396,12/27/15 1:00 AM
190.2405403,12/27/15 2:00 AM
99.39495109,12/27/15 3:00 AM
0,12/27/15 4:00 AM
0,12/27/15 5:00 AM
0,12/27/15 6:00 AM
0,12/27/15 7:00 AM
0,12/27/15 8:00 AM
1605.495178,12/27/15 9:00 AM
1654.757665,12/27/15 10:00 AM
1652.577778,12/27/15 11:00 AM
1632.346612,12/27/15 12:00 PM
1619.472646,12/27/15 1:00 PM
1622.013812,12/27/15 2:00 PM
1694.485157,12/27/15 3:00 PM
1888.399729,12/27/15 4:00 PM
1650.395293,12/27/15 5:00 PM
2774.674817,12/27/15 6:00 PM
2775.524814,12/27/15 7:00 PM
2766.849413,12/27/15 8:00 PM
2756.16959,12/27/15 9:00 PM
1689.014637,12/27/15 10:00 PM
1509.26712,12/27/15 11:00 PM
1368.214552,12/28/15 12:00 AM
1208.879248,12/28/15 1:00 AM
99.58964551,12/28/15 2:00 AM
0,12/28/15 3:00 AM
0,12/28/15 4:00 AM
0,12/28/15 5:00 AM
0,12/28/15 6:00 AM
0,12/28/15 7:00 AM
0,12/28/15 8:00 AM
30.30647988,12/28/15 9:00 AM
33.36796202,12/28/15 10:00 AM
978.6379934,12/28/15 11:00 AM
1334.670341,12/28/15 12:00 PM
1330.590623,12/28/15 1:00 PM
1331.619867,12/28/15 2:00 PM
1330.747259,12/28/15 3:00 PM
1376.735807,12/28/15 4:00 PM
1218.619085,12/28/15 5:00 PM
1611.018083,12/28/15 6:00 PM
1336.527741,12/28/15 7:00 PM
1334.296505,12/28/15 8:00 PM
1330.134162,12/28/15 9:00 PM
1335.192645,12/28/15 10:00 PM
1451.968151,12/28/15 11:00 PM
1449.548651,12/29/15 12:00 AM
276.9854932,12/29/15 1:00 AM
276.467307,12/29/15 2:00 AM
0,12/29/15 3:00 AM
0,12/29/15 4:00 AM
0,12/29/15 5:00 AM
1202.749866,12/29/15 6:00 AM
276.5432889,12/29/15 7:00 AM
99.32188998,12/29/15 8:00 AM
1.077390554,12/29/15 9:00 AM
972.0337985,12/29/15 10:00 AM
1484.296913,12/29/15 11:00 AM
1311.650801,12/29/15 12:00 PM
1530.4693,12/29/15 1:00 PM
1586.888508,12/29/15 2:00 PM
1528.056668,12/29/15 3:00 PM
1521.008759,12/29/15 4:00 PM
1348.99435,12/29/15 5:00 PM
1584.71137,12/29/15 6:00 PM
1323.176028,12/29/15 7:00 PM
1538.198294,12/29/15 8:00 PM
1587.107585,12/29/15 9:00 PM
1584.993112,12/29/15 10:00 PM
1596.88424,12/29/15 11:00 PM
1451.160952,12/30/15 12:00 AM
1449.630844,12/30/15 1:00 AM
1446.097902,12/30/15 2:00 AM
1203.907821,12/30/15 3:00 AM
0,12/30/15 4:00 AM
1187.947096,12/30/15 5:00 AM
1193.546689,12/30/15 6:00 AM
1190.092951,12/30/15 7:00 AM
1187.601567,12/30/15 8:00 AM
1397.769383,12/30/15 9:00 AM
1593.46075,12/30/15 10:00 AM
1472.81963,12/30/15 11:00 AM
1523.942361,12/30/15 12:00 PM
1471.458693,12/30/15 1:00 PM
1493.578428,12/30/15 2:00 PM
1472.436952,12/30/15 3:00 PM
1493.669998,12/30/15 4:00 PM
1368.489634,12/30/15 5:00 PM
1784.45707,12/30/15 6:00 PM
1328.218469,12/30/15 7:00 PM
2767.410144,12/30/15 8:00 PM
2439.492033,12/30/15 9:00 PM
1889.39026,12/30/15 10:00 PM
1697.483279,12/30/15 11:00 PM
1447.768042,12/31/15 12:00 AM
0,12/31/15 1:00 AM
0,12/31/15 2:00 AM
0,12/31/15 3:00 AM
0,12/31/15 4:00 AM
0,12/31/15 5:00 AM
0,12/31/15 6:00 AM
0,12/31/15 7:00 AM
0,12/31/15 8:00 AM
243.7934069,12/31/15 9:00 AM
1035.476395,12/31/15 10:00 AM
0,12/31/15 11:00 AM
1272.905804,12/31/15 12:00 PM
1376.072919,12/31/15 1:00 PM
1209.806542,12/31/15 2:00 PM
182.4805098,12/31/15 3:00 PM
182.0528902,12/31/15 4:00 PM
243.9567177,12/31/15 5:00 PM
1589.747483,12/31/15 6:00 PM
1537.632485,12/31/15 7:00 PM
972.655897,12/31/15 8:00 PM
1372.523068,12/31/15 9:00 PM
1201.860099,12/31/15 10:00 PM
156.6366893,12/31/15 11:00 PM
1491.10342,1/1/16 12:00 AM
1587.717038,1/1/16 1:00 AM
1360.360052,1/1/16 2:00 AM
0,1/1/16 3:00 AM
0,1/1/16 4:00 AM
0,1/1/16 5:00 AM
0,1/1/16 6:00 AM
0,1/1/16 7:00 AM
0,1/1/16 8:00 AM
-10299.86628,1/1/16 9:00 AM
-10293.95871,1/1/16 10:00 AM
0,1/1/16 11:00 AM
0,1/1/16 12:00 PM
0,1/1/16 1:00 PM
0,1/1/16 2:00 PM
0,1/1/16 3:00 PM
0,1/1/16 4:00 PM
0,1/1/16 5:00 PM
1594.214757,1/1/16 6:00 PM
1528.116596,1/1/16 7:00 PM
1348.328338,1/1/16 8:00 PM
1495.052348,1/1/16 9:00 PM
1309.520947,1/1/16 10:00 PM
0,1/1/16 11:00 PM
0,1/2/16 12:00 AM
0,1/2/16 1:00 AM
0,1/2/16 2:00 AM
0,1/2/16 3:00 AM
0,1/2/16 4:00 AM
0,1/2/16 5:00 AM
0,1/2/16 6:00 AM
0,1/2/16 7:00 AM
1428.63209,1/2/16 8:00 AM
1332.142041,1/2/16 9:00 AM
1531.828465,1/2/16 10:00 AM
1591.89559,1/2/16 11:00 AM
1492.144834,1/2/16 12:00 PM
1493.984253,1/2/16 1:00 PM
1697.988287,1/2/16 2:00 PM
1494.786717,1/2/16 3:00 PM
1481.174603,1/2/16 4:00 PM
1469.297912,1/2/16 5:00 PM
2464.353572,1/2/16 6:00 PM
2462.246582,1/2/16 7:00 PM
2924.044595,1/2/16 8:00 PM
2470.939842,1/2/16 9:00 PM
1726.475085,1/2/16 10:00 PM
1515.91781,1/2/16 11:00 PM
1457.068276,1/3/16 12:00 AM
1459.887053,1/3/16 1:00 AM
1458.356927,1/3/16 2:00 AM
1408.153669,1/3/16 3:00 AM
0.984543185,1/3/16 4:00 AM
0.990166268,1/3/16 5:00 AM
0.986458991,1/3/16 6:00 AM
0.984998557,1/3/16 7:00 AM
1409.841071,1/3/16 8:00 AM
1508.770879,1/3/16 9:00 AM
1520.793516,1/3/16 10:00 AM
1320.166413,1/3/16 11:00 AM
1320.044393,1/3/16 12:00 PM
1311.606268,1/3/16 1:00 PM
1361.409999,1/3/16 2:00 PM
1303.013889,1/3/16 3:00 PM
1476.033049,1/3/16 4:00 PM
1434.692048,1/3/16 5:00 PM
2780.596591,1/3/16 6:00 PM
2791.238907,1/3/16 7:00 PM
2904.755428,1/3/16 8:00 PM
3051.885795,1/3/16 9:00 PM
2781.603258,1/3/16 10:00 PM
1502.836839,1/3/16 11:00 PM
1454.380711,1/4/16 12:00 AM
1208.037979,1/4/16 1:00 AM
182.6876542,1/4/16 2:00 AM
181.136564,1/4/16 3:00 AM
0.979169485,1/4/16 4:00 AM
182.8329825,1/4/16 5:00 AM
1196.150312,1/4/16 6:00 AM
1194.677102,1/4/16 7:00 AM
1469.228995,1/4/16 8:00 AM
1558.925702,1/4/16 9:00 AM
1727.966928,1/4/16 10:00 AM
2176.865344,1/4/16 11:00 AM
2103.592527,1/4/16 12:00 PM
2173.967622,1/4/16 1:00 PM
3816.311337,1/4/16 2:00 PM
3725.982868,1/4/16 3:00 PM
3727.207902,1/4/16 4:00 PM
2277.230201,1/4/16 5:00 PM
3891.127695,1/4/16 6:00 PM
2695.367282,1/4/16 7:00 PM
2627.794134,1/4/16 8:00 PM
2783.490558,1/4/16 9:00 PM
1824.567635,1/4/16 10:00 PM
1516.786886,1/4/16 11:00 PM
1681.909566,1/5/16 12:00 AM
1684.016825,1/5/16 1:00 AM
1884.172221,1/5/16 2:00 AM
1847.554972,1/5/16 3:00 AM
1670.406113,1/5/16 4:00 AM
1614.480331,1/5/16 5:00 AM
1438.734918,1/5/16 6:00 AM
1204.648813,1/5/16 7:00 AM
1196.181396,1/5/16 8:00 AM
1485.641236,1/5/16 9:00 AM
1813.154811,1/5/16 10:00 AM
2607.343199,1/5/16 11:00 AM
2228.586428,1/5/16 12:00 PM
2452.184918,1/5/16 1:00 PM
2673.080169,1/5/16 2:00 PM
2397.375331,1/5/16 3:00 PM
1862.37818,1/5/16 4:00 PM
1892.833226,1/5/16 5:00 PM
3331.700215,1/5/16 6:00 PM
3746.546947,1/5/16 7:00 PM
3745.924854,1/5/16 8:00 PM
4207.746903,1/5/16 9:00 PM
3406.800998,1/5/16 10:00 PM
2796.792367,1/5/16 11:00 PM
2783.960221,1/6/16 12:00 AM
1897.308808,1/6/16 1:00 AM
1453.917812,1/6/16 2:00 AM
1451.26859,1/6/16 3:00 AM
1448.005427,1/6/16 4:00 AM
1676.307822,1/6/16 5:00 AM
1887.958785,1/6/16 6:00 AM
1494.383204,1/6/16 7:00 AM
1321.172313,1/6/16 8:00 AM
1687.003482,1/6/16 9:00 AM
2083.545331,1/6/16 10:00 AM
9742.068097,1/6/16 11:00 AM
4764.524556,1/6/16 12:00 PM
3963.852627,1/6/16 1:00 PM
10063.95119,1/6/16 2:00 PM
6920.314914,1/6/16 3:00 PM
